bush1247,Primarily oral
bwel1238,don't know
ding1239,Written
dong1290,don't know
enya1247,don't know
hemb1242,Primarily oral
hund1239,Primarily oral
kany1247,Primarily oral
kete1252,Primarily oral
kitu1246,Written
lese1243,Primarily oral
luba1250,Primarily oral
made1252,don't know
mamv1243,Primarily oral
mang1394,Primarily oral
mayo1261,Primarily oral
mbaa1245,Primarily oral
mbol1247,don't know
mitu1240,don't know
mong1338,Primarily oral
ndun1249,Primarily oral
ngel1238,Primarily oral
ntom1248,Primarily oral
nyan1304,Primarily oral
seng1278,Primarily oral
song1303,Primarily oral
suku1259,Written
tete1250,Written
yans1239,Written
furu1242,Primarily oral
ngom1268,Written
nzak1247,don't know
yako1252,don't know
bang1354,Written
ling1263,Written
monz1249,Primarily oral
ngba1284,Primarily oral
ngba1285,Primarily oral
sang1328,Written
zand1248,Written
teke1274,Primarily oral
nubi1253,Primarily oral
chig1238,Written
avok1242,Written
baka1274,Written
logo1259,Primarily oral
mund1326,Written
lend1245,Written
lugb1240,Written
nand1264,Primarily oral
ngit1239,Primarily oral
tali1258,Written
lamb1271,Primarily oral
taab1238,Primarily oral
band1344,Primarily oral
birr1240,Primarily oral
gbay1287,Primarily oral
yaka1272,Primarily oral
baka1272,Written
nort2775,Primarily oral
gbay1281,Primarily oral
mbum1254,Primarily oral
sout2785,Primarily oral
mbay1241,Primarily oral
kara1482,Primarily oral
gbay1288,Written
gula1266,Primarily oral
furr1244,Written
rung1258,Primarily oral
akwa1248,Primarily oral
beem1239,Written
dibo1245,Primarily oral
mbos1242,Written
mber1257,Primarily oral
teke1280,Primarily oral
abid1235,Primarily oral
adio1239,Primarily oral
alla1248,Primarily oral
apro1235,Primarily oral
avik1243,Primarily oral
baou1238,Written
beng1286,Primarily oral
dalo1238,Primarily oral
djim1235,Primarily oral
egaa1242,don't know
godi1239,Written
guro1248,Written
jeri1242,Primarily oral
lako1244,Primarily oral
neyo1238,Primarily oral
wann1242,don't know
weno1238,Primarily oral
anyi1245,Written
nafa1258,Written
maho1249,Primarily oral
mann1248,Primarily oral
east2426,Primarily oral
bamb1269,Written
sout2826,Primarily oral
niue1239,Written
kunz1244,Primarily oral
qawa1238,Primarily oral
rapa1244,Written
yama1264,Primarily oral
aghe1239,Written
bafi1243,Primarily oral
bafu1246,Written
bamb1266,Written
bamu1253,Primarily oral
bana1305,Written
bank1256,Primarily oral
basa1284,Primarily oral
bulu1251,Primarily oral
diii1241,Primarily oral
doya1240,Primarily oral
dual1243,Written
ewon1239,Written
fefe1239,Primarily oral
keny1279,Written
komc1235,Written
mada1293,Written
maka1304,Written
mbee1250,Primarily oral
mina1276,Primarily oral
mofu1248,Written
mokp1239,Written
mund1327,Written
mung1266,Written
ngem1255,Primarily oral
noon1243,Primarily oral
nort3047,Primarily oral
nugu1242,Written
okuu1243,Written
orok1266,Primarily oral
park1239,Primarily oral
tika1246,Primarily oral
tuki1240,Written
tune1261,Written
veng1238,Written
wuzl1236,Written
yemb1246,Written
adam1253,Written
kwas1243,Written
cent2050,Written
chad1249,Primarily oral
afad1236,don't know
efik1245,Written
ejag1239,Written
gude1246,Written
gudu1252,Primarily oral
hdii1240,Written
juku1254,Primarily oral
lamn1239,Written
samb1305,Primarily oral
tivv1240,Primarily oral
yamb1251,Written
budu1265,Primarily oral
lagw1237,Written
ngam1268,Written
nige1253,Written
gida1247,Primarily oral
kera1255,Primarily oral
kuoo1238,Primarily oral
mamb1294,Written
masa1322,Primarily oral
mund1325,Primarily oral
musg1254,Primarily oral
peve1243,Primarily oral
tupu1244,Written
ainu1251,Primarily oral
amdo1237,Written
amis1246,Primarily oral
atay1247,Primarily oral
bona1250,Primarily oral
cent2004,Written
dong1285,Written
east2337,Primarily oral
guib1245,don't know
hlai1239,Primarily oral
hong1241,Primarily oral
jiar1240,Written
jurc1239,Primarily oral
lakk1238,Primarily oral
mind1253,Written
mula1253,Primarily oral
naxi1245,Written
nusu1239,Written
paiw1248,Primarily oral
qaua1234,Primarily oral
ruka1240,Primarily oral
sala1264,Primarily oral
sich1238,Written
sout2741,Written
taiw1241,Primarily oral
tsat1238,Primarily oral
west2402,Primarily oral
wuch1236,Primarily oral
wudi1238,Primarily oral
xish1235,Primarily oral
youn1235,Primarily oral
diga1241,Primarily oral
idum1241,Primarily oral
kinn1249,Primarily oral
lada1244,Written
miju1243,Primarily oral
sulu1241,Primarily oral
